"time","delta1","delta2","delta3","intPrecip","lowDepthQF","exDeltaQF","missingWireInfoQF","gapQF","priorDepthQF","overflowQF","inletHeaters1QM","inletHeaters2QM","inletHeaters3QM","adjPrecip","gaugeNoiseQF","radjPrecip","wireNoiseQF","roundedPrecip","detectablePrecip","finalPrecip"
2012-01-15 07:20:00,0.0211138204967938,0.102905942617213,0.00222224700291918,0.0305953702712451,0,0,0,0,0,0,0,0,0,0.0305953702712451,0,0.0305953702712451,0,0.03,0,0
2012-01-15 07:25:00,-0.100293410912741,-0.128477280138327,-0.0027283016486308,-0.0598758633830629,0,0,0,0,0,0,0,0,0,-0.0598758633830629,0,0,1,0,0,0
2012-01-15 07:30:00,0.11413690608606,0.194160797048198,-0.000402551043293897,0.0773295919282353,0,0,0,0,0,0,0,0,0,0.0773295919282353,0,0,1,0,0,0
2012-01-15 07:35:00,0.0308354819737815,-0.218270158232599,-0.000983107615979861,-0.0409101917619238,0,0,0,0,0,0,0,0,0,-0.0409101917619238,0,0,1,0,0,0
2012-01-15 07:40:00,0.145076800624679,0.0463081894241668,0.0146770997614567,0.0601222684565333,0,0,0,0,0,0,0,0,0,0.0601222684565333,0,0.0601222684565333,0,0.06,0,0
2012-01-15 07:45:00,-0.0704450754880099,-0.0332323810307571,0.0162747951726487,-0.0204030858700337,0,0,0,0,0,0,0,0,0,-0.0204030858700337,0,0,1,0,0,0
2012-01-15 07:50:00,-0.149709669536605,-0.135681278992138,-0.0319333111556261,-0.0900246872201943,0,0,0,0,0,0,0,0,0,-0.0900246872201943,0,0,1,0,0,0
2012-01-15 07:55:00,0.0851133740003434,0.241868346783008,0.000176524621224416,0.0799056333716735,0,0,0,0,0,0,0,0,0,0.0799056333716735,0,0.0799056333716735,0,0.08,0,0
2012-01-15 08:00:00,-0.149015834052875,-0.0749304811520233,0.00375218229157781,-0.0788297652064861,0,0,0,0,0,0,0,0,0,-0.0788297652064861,0,0,1,0,0,0
2012-01-15 08:05:00,0.201281167048023,-0.128185345243423,0.00364597507450526,0.0599129777032421,0,0,0,0,0,0,0,0,0,0.0599129777032421,0,0,1,0,0,0
2012-01-15 08:10:00,0.00947131264251766,0.122963030296773,-0.0147410034509221,0.0254549219270748,0,0,0,0,0,0,0,0,0,0.0254549219270748,0,0,1,0,0,0
2012-01-15 08:15:00,0.11482003520041,0.189534942238424,0.000926846656739144,0.0906220621155724,0,0,0,0,0,0,0,0,0,0.0906220621155724,0,0.0906220621155724,0,0.09,0,0
2012-01-15 08:20:00,-0.170659357100362,-0.204003084635019,0.0116003368276552,-0.113273294190712,0,0,0,0,0,0,0,0,0,-0.113273294190712,0,0,1,0,0,0
2012-01-15 08:25:00,-0.0889242007903022,-0.0164372695345492,0.00212753209711991,-0.0409599755447985,0,0,0,0,0,0,0,0,0,-0.0409599755447985,0,0,1,0,0,0
2012-01-15 08:30:00,0.0540711967231573,0.0590451980447142,-0.0325490911581028,0.0244445537187059,0,0,0,0,0,0,0,0,0,0.0244445537187059,0,0,1,0,0,0
2012-01-15 08:35:00,-0.056847127609899,-0.127390524656676,0.0259494759283143,-0.042768656344823,0,0,0,0,0,0,0,0,0,-0.042768656344823,0,0,1,0,0,0
2012-01-15 08:40:00,-0.032352080473288,0.0354645024742695,0.0166112737556432,-0.000317356901364277,0,0,0,0,0,0,0,0,0,-0.000317356901364277,0,0,1,0,0,0
2012-01-15 08:45:00,0.0992987866878821,0.139727870418483,-0.00176457315183143,0.0722271108950061,0,0,0,0,0,0,0,0,0,0.0722271108950061,0,0,1,0,0,0
2012-01-15 08:50:00,-0.10632539059975,-0.167064728227615,-0.0157659209123722,-0.0873731666510223,0,0,0,0,0,0,0,0,0,-0.0873731666510223,0,0,1,0,0,0
2012-01-15 08:55:00,0.106445001390625,0.237787232202436,-3.1628937563255e-05,0.0971331667898658,0,0,0,0,0,0,0,0,0,0.0971331667898658,0,0,1,0,0,0
2012-01-15 09:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-15 09:05:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-15 09:10:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-01-15 09:15:00,-0.0453135132883062,0.111714720780128,0.00956848503039964,0.0145851846528667,0,0,0,0,0,0,0,0,0,0.0145851846528667,0,0,1,0,0,0
2012-01-15 09:20:00,-0.0460697479793453,0.0467736270529713,-0.000267143565906736,-0.00449831275922262,0,0,0,0,0,0,0,0,0,-0.00449831275922262,0,0,1,0,0,0
2012-01-15 09:25:00,0.195904143405073,-0.199451690380897,-0.0198263618867713,0.0093422162064193,0,0,0,0,0,0,0,0,0,0.0093422162064193,0,0,1,0,0,0
2012-01-15 09:30:00,-0.0826911676576856,0.102332159937191,0.0140887870652477,0.00269117545814951,0,0,0,0,0,0,0,0,0,0.00269117545814951,0,0,1,0,0,0
2012-01-15 09:35:00,0.0808778091229669,0.0119553009436686,-0.00389621921544858,0.0266102807446583,0,0,0,0,0,0,0,0,0,0.0266102807446583,0,0,1,0,0,0
2012-01-15 09:40:00,-0.207542846864953,0.101553992667164,0.00328265389157423,-0.0422472011166469,0,0,0,0,0,0,0,0,0,-0.0422472011166469,0,0,1,0,0,0
