"time","Freq1","Freq2","Freq3","orificeHeater","gapQF","stab1","stab2","stab3"
"15-Jan-12 12.20.10.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.20.20.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.20.30.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.20.40.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.20.50.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.21.00.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.21.10.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.21.20.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.21.30.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.21.40.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.21.50.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.22.00.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.22.10.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.22.20.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.22.30.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.22.40.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.22.50.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.23.00.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.23.10.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.23.20.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.23.30.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.23.40.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.23.50.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.24.00.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.24.10.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.24.20.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.24.30.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.24.40.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.24.50.000 AM",7292.59399808056,7210.11838137736,7572.11633710496,"000",0,1,1,1
"15-Jan-12 12.25.00.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.25.10.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.25.20.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.25.30.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.25.40.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.25.50.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.26.00.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.26.10.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.26.20.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.26.30.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.26.40.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.26.50.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
